timeA,accx,accY,accZ,timeG,gyrX,gyrY,gyrZ
1433848917026, -0.011368418, 0.0011898875, -0.0020580292, 1433848917109, -122.83108, -5.1646023, 0.16527583
1433848917029, -0.009094734, 0.008613348, 0.013676643, 1433848917216, -122.49193, -5.1744614, 0.2759891
1433848917038, 0.00038565882, -0.0084322095, -0.058011055, 1433848917307, -123.21358, -5.1099524, 0.16527583
1433848917059, -0.0073529184, -0.0067457557, -0.023425102, 1433848917429, -121.814, -5.209451, 0.11114589
1433848917065, 0.0017791111, 0.0099262595, 0.0042438507, 1433848917525, -121.273766, -5.1148276, 0.22057939
1433848917070, 0.0014232881, 0.0002796054, 0.0110569, 1433848917626, -120.92547, -5.1246185, 0.27625522
1433848917074, 0.016461521, -0.0074377656, 0.031829834, 1433848917722, -120.37036, -5.2342706, 0.11050282
1433848917078, -0.009815119, 0.0017111897, 0.017802238, 1433848917817, -120.75661, -5.2342777, 0.05525146
1433848917082, -0.015513539, -0.0062924623, 0.029564857, 1433848917916, -122.31055, -5.119708, 0.2759891
1433848917100, 0.0029120576, 0.0026274323, 0.015990257, 1433848918031, -123.99857, -5.1645637, 0.27545834
1433848917112, -0.0053317994, -0.0132210255, -0.0025310516, 1433848918127, -123.686035, -5.2192554, 0.11018406
1433848917137, 0.011057451, 0.012407541, -0.032670975, 1433848918237, -122.98171, -5.154743, 0.16495861
1433848917145, 0.016507408, 0.0022645593, -0.09508991, 1433848918329, -120.851944, -5.189429, 0.11071634
1433848917148, -0.00977841, 0.0018116832, 0.0005426407, 1433848918425, -121.15973, -5.12956, 0.22121812
1433848917161, 0.015161609, 0.009110749, -0.007226944, 1433848918529, -121.043434, -5.1246686, 0.11050281
1433848917172, -0.0031936038, -0.00037282705, 0.024864197, 1433848918617, -121.14571, -5.10507, 0.16511707
1433848917176, -0.010216329, -0.0079597235, 0.027552605, 1433848918716, -121.33022, -5.015017, 0.16575396
1433848917195, 0.022472719, 0.0012935996, 0.022042274, 1433848918817, -119.53263, -5.119757, 0.110396355
1433848917200, -0.0050061624, 0.0010349154, 0.009972572, 1433848918921, -121.52539, -5.0504727, 0.11007821
1433848917208, -0.01932782, 0.0008279681, 0.007977486, 1433848919009, -121.20582, -5.055311, 0.05509208
1433848917219, -0.007800812, 0.0006623864, -0.0012798309, 1433848919115, -121.14827, -5.07957, 0.22143187
1433848917240, 0.016743688, 0.0005299449, -0.062314987, 1433848919216, -121.78573, -5.119708, 0.2759891
1433848917249, -0.0019279402, 0.00042396784, -0.057513237, 1433848919301, 0.0, 0.0, 0.0
1433848917255, -0.009203797, 0.008000612, -0.030687332, 1433848919420, -120.66638, -5.164614, 0.11018405
1433848917259, -0.007363038, -0.0012609363, 0.021418571, 1433848919521, -121.64613, -5.189416, 0.16607426
1433848917267, 0.017093906, -0.016331673, 0.017134666, 1433848919627, -120.43819, -5.2900414, 0.22337423
1433848917270, -0.0016477667, 0.002257526, 0.036691666, 1433848919726, -120.4372, -5.2292557, 0.11039636
1433848917285, -0.0013182145, -0.005855441, 0.006368637, 1433848919812, -121.034584, -5.0697775, 0.33150518
1433848917297, 0.01426832, -0.004684329, 0.028079033, 1433848919914, -120.79811, -5.119729, 0.22079189
1433848917300, -0.0039082356, -0.0037474632, 0.030124664, 1433848920034, -124.459076, -5.1844344, 0.16591395
1433848917322, -0.010788035, -0.0029979944, 0.024100304, 1433848920132, -123.93198, -5.2342577, 0.16575396
1433848917330, 0.0066924617, 0.0052630305, -0.08031845, 1433848920245, -123.51595, -5.1694818, 0.33086705
1433848917338, -0.009968922, 0.0042104125, -0.07191658, 1433848920327, -122.12875, -5.1246185, 0.27625522
1433848917342, -0.007975137, 0.01102978, -0.011564255, 1433848920416, -120.833244, -5.1695075, 0.27572346
1433848917358, 0.001281336, 0.0011623502, 0.029055595, 1433848920517, -123.40553, -5.12956, 0.22121812
1433848917362, 0.01634796, -0.0067315698, 0.023244858, 1433848920624, -123.304955, -5.1794457, 0.2210048
1433848917382, 0.0054169223, 0.0022761226, 0.0415802, 1433848920721, -123.479645, -5.159604, 0.3302314
1433848917396, -0.026312243, 0.009482324, 0.04092598, 1433848920829, -122.49946, -5.144377, 0.22186057
1433848917399, 0.009595986, -0.0077370405, 0.017417908, 1433848920922, -121.64902, -5.0697775, 0.33150518
1433848917402, 0.015338235, 0.0014718175, -0.0013885498, 1433848921021, -121.81682, -5.1794457, 0.2210048
1433848917434, 0.012270588, -0.006483972, 0.014211655, 1433848921124, -121.60761, -5.1844535, 0.055304788
1433848917437, -0.013167866, -0.005187154, 0.0037078857, 1433848921217, -121.183784, -5.134526, 0.055358224
1433848917442, 0.0047886, 0.0035117269, -0.050663948, 1433848921317, -121.43738, -5.1694818, 0.33086705
1433848917467, 0.011492327, 0.010470808, 0.005437851, 1433848921412, -121.234726, -5.2342196, 0.27625522
1433848917477, -0.013790475, -0.006946206, -0.0033111572, 1433848921517, -121.60223, -5.060096, 0.27572346
1433848917481, 0.00429051, -0.005556941, 0.012673378, 1433848921607, -121.21944, -5.1794624, 0.16575396
1433848917486, -0.004229037, 0.0032158494, 0.017800331, 1433848921712, -121.45675, -5.129538, 0.2765219
1433848917492, 0.0042782165, 0.0025727153, -0.00874424, 1433848921817, -121.40073, -5.1246395, 0.2210048
